Experiment Name:,Exp_20200528_1

Tube Name:,Record Time:,Volume(μL):,All Events  Events/μL(V),HB Events/μL(V),Time Events/μL(V),Cells Events/μL(V),P2 Events/μL(V),P3 Events/μL(V),P1 Events/μL(V),Bac Events/μL(V),All Events ,HB Events,Time Events,Cells Events,P2 Events,P3 Events,P1 Events,Bac Events,All Events  % Parent,HB % Parent,Time % Parent,Cells % Parent,P2 % Parent,P3 % Parent,P1 % Parent,Bac % Parent,All Events  % Total,HB % Total,Time % Total,Cells % Total,P2 % Total,P3 % Total,P1 % Total,Bac % Total,All Events  Mean FSC-H,HB Mean FSC-H,Time Mean FSC-H,Cells Mean FSC-H,P2 Mean FSC-H,P3 Mean FSC-H,P1 Mean FSC-H,Bac Mean FSC-H,All Events  Mean BL525-H,HB Mean BL525-H,Time Mean BL525-H,Cells Mean BL525-H,P2 Mean BL525-H,P3 Mean BL525-H,P1 Mean BL525-H,Bac Mean BL525-H,All Events  Mean BL690-H,HB Mean BL690-H,Time Mean BL690-H,Cells Mean BL690-H,P2 Mean BL690-H,P3 Mean BL690-H,P1 Mean BL690-H,Bac Mean BL690-H,All Events  rSD BL525-H,HB rSD BL525-H,Time rSD BL525-H,Cells rSD BL525-H,P2 rSD BL525-H,P3 rSD BL525-H,P1 rSD BL525-H,Bac rSD BL525-H
A1 S_T1_R1_1,2020-05-28 12:15:44,10.0,130.80,45.50,125.84,115.80,130.10,6.50,0.00,57.00,1308,455,1216,1158,1301,65,0,570,100.00%,79.82%,92.97%,95.23%,99.46%,11.40%,0.00%,49.22%,100.00%,34.79%,92.97%,88.53%,99.46%,4.97%,0.00%,43.58%,13472.0,2971.9,2703.8,2748.3,12360.0,2710.5,####,2895.5,160272.4,197522.6,120736.2,126084.6,133396.8,21826.7,####,162267.3,21178.0,5398.3,3907.6,4075.5,5217.9,1903.6,####,4664.9,25297.2,94554.0,23797.6,28371.3,24656.7,6485.8,####,57321.1
A2 S_T1_R2_1,2020-05-28 12:19:51,10.1,145.89,50.29,141.72,130.39,145.19,9.94,0.30,67.58,1468,506,1378,1312,1461,100,3,680,100.00%,74.41%,93.87%,95.21%,99.52%,14.71%,0.44%,51.83%,100.00%,34.47%,93.87%,89.37%,99.52%,6.81%,0.20%,46.32%,7268.8,3168.3,2851.9,2902.4,5828.7,2723.1,6340.7,3072.2,188336.7,261373.9,161481.2,168909.1,164306.3,22167.6,145440.7,202037.5,18889.8,7076.0,5016.6,5240.4,5781.8,2178.6,27434.4,5964.4,33428.0,190589.9,31268.0,37850.0,32700.8,6520.0,16074.8,73256.6
A3 S_T2_R1_1,2020-05-28 12:11:37,10.0,227.11,96.00,222.91,208.00,226.51,8.30,0.90,113.20,2271,960,2154,2080,2265,83,9,1132,100.00%,84.81%,94.85%,96.56%,99.74%,7.33%,0.80%,54.42%,100.00%,42.27%,94.85%,91.59%,99.74%,3.65%,0.40%,49.85%,6297.2,2776.7,2636.9,2664.8,5608.0,2753.5,3941.2,2779.3,160433.5,220542.9,144970.3,149588.0,147038.2,29158.7,165852.4,193619.6,16370.9,5953.9,5140.7,5303.6,5608.1,2786.8,76483.4,6204.8,64997.6,192478.5,64921.6,71440.3,64732.2,8520.8,34853.9,129564.5
A4 S_T2_R2_1,2020-05-28 12:21:13,10.0,291.81,126.80,291.21,272.10,291.41,8.30,1.60,147.00,2918,1268,2814,2721,2914,83,16,1470,100.00%,86.26%,96.44%,96.70%,99.86%,5.65%,1.09%,54.02%,100.00%,43.45%,96.44%,93.25%,99.86%,2.84%,0.55%,50.38%,4491.0,2812.3,2631.7,2655.3,4092.1,2758.5,3936.1,2824.2,139432.2,188077.2,124692.8,128455.4,132203.9,30678.5,183888.9,168924.6,11548.6,5014.1,4388.0,4519.0,5112.0,2728.4,82268.8,5677.7,55233.0,115620.7,54598.5,57494.9,55118.6,9780.0,96402.6,100205.7
A5 S_T3_R1_1,2020-05-28 12:22:34,10.0,313.34,122.02,311.39,291.44,312.74,8.20,2.30,142.32,3133,1220,3009,2914,3127,82,23,1423,100.00%,85.73%,96.04%,96.84%,99.81%,5.76%,1.62%,48.83%,100.00%,38.94%,96.04%,93.01%,99.81%,2.62%,0.73%,45.42%,4488.3,2654.0,2614.6,2637.1,4034.1,2801.5,4217.9,2689.6,125513.7,163066.8,113560.8,116785.5,117214.1,29491.0,211478.6,148813.0,11440.3,4433.2,4828.9,4966.8,5523.1,2780.4,84454.5,5753.4,55225.2,96171.3,55021.7,57216.1,54885.4,10550.6,69153.8,87073.4
A6 S_T3_R2_1,2020-05-28 12:23:56,10.1,253.32,98.48,250.84,232.55,252.72,9.74,0.60,116.17,2549,991,2439,2340,2543,98,6,1169,100.00%,84.77%,95.68%,95.94%,99.76%,8.38%,0.51%,49.96%,100.00%,38.88%,95.68%,91.80%,99.76%,3.84%,0.24%,45.86%,5691.7,2732.6,2611.9,2641.6,4666.9,2630.4,4574.8,2734.5,135827.6,183242.9,125008.3,129654.8,125406.4,27938.2,203013.1,162124.8,8061.5,4955.4,4582.1,4751.2,4879.1,2671.5,90695.7,5250.2,57873.4,113305.2,58043.5,62352.1,57306.6,7978.1,126972.6,100606.0
A7 S_T4_R1_1,2020-05-28 12:25:17,10.0,380.98,150.23,381.76,355.78,380.68,9.70,1.90,171.64,3809,1502,3689,3557,3806,97,19,1716,100.00%,87.53%,96.85%,96.42%,99.92%,5.65%,1.11%,48.24%,100.00%,39.43%,96.85%,93.38%,99.92%,2.55%,0.50%,45.05%,4313.5,2612.9,2583.5,2609.7,4173.9,2820.4,3888.7,2636.3,116411.6,157937.5,108078.6,111529.3,112140.9,33747.0,206945.6,144853.1,6435.5,4241.0,4133.5,4265.1,4730.4,3239.6,69281.1,4878.1,58296.1,90126.3,58085.3,59406.4,58210.9,12667.0,42516.2,87299.1
A8 S_T4_R2_1,2020-05-28 12:26:38,10.0,414.50,170.20,423.57,399.90,414.20,9.70,2.80,195.90,4145,1702,4093,3999,4142,97,28,1959,100.00%,86.88%,98.75%,97.70%,99.93%,4.95%,1.43%,48.99%,100.00%,41.06%,98.75%,96.48%,99.93%,2.34%,0.68%,47.26%,3987.7,2623.5,2498.9,2516.7,3931.4,2723.8,3952.2,2666.5,103825.9,132478.0,100750.4,102657.8,100019.0,32436.8,186514.4,123372.8,4626.1,3724.8,4006.7,4084.5,4282.1,3073.7,62246.6,4632.4,52587.4,68994.6,52681.8,53368.6,52415.0,10954.6,69646.9,68868.9
A9 blank,2020-05-28 12:28:00,10.0,85.30,32.40,83.93,78.80,85.00,1.60,1.00,37.40,853,324,811,788,850,16,10,374,100.00%,86.63%,95.08%,97.16%,99.65%,4.28%,2.67%,47.46%,100.00%,37.98%,95.08%,92.38%,99.65%,1.88%,1.17%,43.85%,8508.7,2758.0,2714.9,2744.1,5647.2,2802.9,4414.5,2803.0,146820.2,173781.4,132363.3,135755.6,134912.0,34164.1,219115.4,162409.3,12556.1,4922.6,5496.1,5638.9,6314.7,3135.6,52231.1,6191.1,68401.8,95462.4,69419.8,68634.3,68260.3,10492.1,95559.8,94235.0
A10 S_T5_R1_1,2020-05-28 12:29:21,10.0,417.81,173.21,416.64,395.41,417.61,11.20,3.00,199.61,4178,1732,4026,3954,4176,112,30,1996,100.00%,86.77%,96.36%,98.21%,99.95%,5.61%,1.50%,50.48%,100.00%,41.46%,96.36%,94.64%,99.95%,2.68%,0.72%,47.77%,3547.1,2677.4,2579.7,2590.8,3396.1,2893.1,3807.2,2716.2,113369.5,138745.9,107004.9,108679.6,110856.5,35892.3,197391.9,128735.9,5522.0,3830.4,4480.5,4551.9,4886.1,3442.7,71840.5,4966.3,53336.7,72009.7,52939.9,53351.7,53275.4,10901.0,70923.7,70686.6
A11 S_T5_R2_1,2020-05-28 12:30:43,10.0,447.60,183.30,447.58,422.60,447.30,10.00,3.80,209.80,4476,1833,4325,4226,4473,100,38,2098,100.00%,87.37%,96.63%,97.71%,99.93%,4.77%,1.81%,49.65%,100.00%,40.95%,96.63%,94.41%,99.93%,2.23%,0.85%,46.87%,3156.7,2603.8,2504.4,2520.0,3093.7,2729.5,3829.9,2644.9,105581.2,131875.6,100716.8,102725.2,103220.0,33050.5,183556.4,123341.3,5180.7,3633.2,3983.7,4064.1,4327.3,3067.2,61568.4,4793.1,53299.4,71740.9,53043.9,53877.3,53306.7,8099.3,48113.3,70586.7
A12 S_T6_R1_1,2020-05-28 12:32:04,10.0,353.50,140.50,361.37,340.90,353.30,9.70,3.10,165.50,3535,1405,3492,3409,3533,97,31,1655,100.00%,84.89%,98.78%,97.62%,99.94%,5.86%,1.87%,48.55%,100.00%,39.75%,98.78%,96.44%,99.94%,2.74%,0.88%,46.82%,3395.5,2617.3,2402.3,2417.4,3311.7,2752.2,3749.6,2659.6,90398.5,102049.3,83276.2,84926.2,87459.2,43765.5,181473.9,97616.8,5408.0,3027.4,3506.0,3576.6,4317.1,3830.4,54050.4,4315.4,50418.5,56189.4,50107.1,50034.6,50367.9,18911.0,31466.8,58157.2
B1 S_T1_R1_2,2020-05-28 12:33:27,10.0,110.10,38.60,109.07,98.90,109.70,3.80,0.00,47.60,1101,386,1054,989,1097,38,0,476,100.00%,81.09%,95.73%,93.83%,99.64%,7.98%,0.00%,48.13%,100.00%,35.06%,95.73%,89.83%,99.64%,3.45%,0.00%,43.23%,8011.3,3029.4,2675.4,2732.2,7140.5,2713.2,####,2949.9,122991.4,189473.0,104666.1,110630.7,105169.7,23831.4,####,157802.7,17239.9,5157.6,3381.6,3569.7,3917.1,1967.7,####,4514.4,19937.0,87366.6,19512.9,23508.1,19733.3,4039.8,####,57086.5
B2 S_T1_R2_2,2020-05-28 12:34:49,10.0,79.40,26.00,75.23,68.20,78.70,4.10,0.10,33.40,794,260,727,682,787,41,1,334,100.00%,77.84%,91.56%,93.81%,99.12%,12.28%,0.30%,48.97%,100.00%,32.75%,91.56%,85.89%,99.12%,5.16%,0.13%,42.07%,19385.7,3210.6,2918.5,2984.9,13605.5,2758.3,4130.6,3080.1,195288.0,274714.7,155018.6,164347.5,158198.9,19914.6,174236.0,218976.6,31058.2,7000.4,4906.5,5192.4,6423.6,1861.9,96288.7,6091.6,21436.3,258812.9,21377.9,25628.7,20814.7,7304.8,0.0,94759.3
B3 S_T2_R1_2,2020-05-28 12:36:10,10.0,118.00,51.30,120.15,112.60,117.90,3.50,0.70,59.60,1180,513,1161,1126,1179,35,7,596,100.00%,86.07%,98.39%,96.99%,99.92%,5.87%,1.17%,52.93%,100.00%,43.47%,98.39%,95.42%,99.92%,2.97%,0.59%,50.51%,5326.0,2906.8,2660.7,2686.1,5046.6,2698.1,3742.7,2899.1,147481.7,227383.8,143798.9,147798.7,142809.4,21699.9,152813.6,201601.7,9730.7,5809.2,4698.3,4826.7,4969.4,2216.9,56089.3,6034.5,70299.0,237641.8,71058.8,79786.2,70246.6,5397.4,34960.0,152876.6
B4 S_T2_R2_2,2020-05-28 12:37:32,10.0,145.20,58.90,143.85,134.20,144.90,4.10,0.40,68.00,1452,589,1390,1342,1449,41,4,680,100.00%,86.62%,95.73%,96.55%,99.79%,6.03%,0.59%,50.67%,100.00%,40.56%,95.73%,92.42%,99.79%,2.82%,0.28%,46.83%,6330.7,2839.3,2713.5,2740.6,5784.0,2718.0,4414.0,2848.6,146105.6,205281.2,134219.2,138534.0,135464.3,24411.5,209111.3,183615.0,13470.7,5368.9,4621.8,4768.6,5048.0,2299.5,55149.7,5396.4,59755.2,159399.4,62439.8,65620.6,58287.8,7451.8,45894.0,124061.2
B5 S_T3_R1_2,2020-05-28 12:38:53,10.0,158.30,61.50,148.50,139.10,158.00,2.80,1.00,69.00,1583,615,1435,1391,1580,28,10,690,100.00%,89.13%,90.65%,96.93%,99.81%,4.06%,1.45%,49.60%,100.00%,38.85%,90.65%,87.87%,99.81%,1.77%,0.63%,43.59%,4645.8,2703.1,2475.1,2494.2,4283.1,2963.6,3899.5,2740.8,131978.9,161415.7,116082.7,119341.6,122376.4,43156.0,196340.8,151226.8,9957.0,4336.6,4268.1,4386.6,4941.0,3990.4,86195.8,5552.0,59220.2,94507.6,58527.1,61190.6,58893.4,17135.0,39607.2,91494.7
B6 S_T3_R2_2,2020-05-28 12:40:15,10.0,180.39,73.98,178.20,165.77,180.39,4.70,0.40,83.79,1802,739,1722,1656,1802,47,4,837,100.00%,88.29%,95.56%,96.17%,100.00%,5.62%,0.48%,50.54%,100.00%,41.01%,95.56%,91.90%,100.00%,2.61%,0.22%,46.45%,3567.6,2689.6,2487.3,2502.8,3567.6,2602.9,3341.6,2710.9,123477.3,175143.4,122208.2,126511.8,123477.3,29447.5,201136.8,161049.6,4368.3,4557.5,4027.8,4166.0,4368.3,2724.7,82724.1,5038.4,66002.6,117080.9,65469.0,68715.5,66002.6,7584.1,55260.7,103655.2
B7 S_T4_R1_2,2020-05-28 12:41:36,10.0,168.30,66.10,168.37,157.80,168.20,3.50,1.10,74.10,1683,661,1627,1578,1682,35,11,741,100.00%,89.20%,96.67%,96.99%,99.94%,4.72%,1.48%,46.96%,100.00%,39.28%,96.67%,93.76%,99.94%,2.08%,0.65%,44.03%,5830.6,2596.0,2416.7,2436.3,5686.5,2835.6,3280.1,2616.3,116891.6,155894.3,110442.2,113092.1,113997.7,41829.1,173413.8,146270.6,6500.2,4226.2,3910.8,4006.4,4376.2,4077.6,53787.2,4920.6,57123.7,87220.8,56994.3,57454.9,57100.7,24429.1,39727.9,86368.3
B8 S_T4_R2_2,2020-05-28 12:42:57,10.0,166.40,61.10,162.37,152.10,166.30,3.00,0.90,70.90,1664,611,1569,1521,1663,30,9,709,100.00%,86.18%,94.29%,96.94%,99.94%,4.23%,1.27%,46.61%,100.00%,36.72%,94.29%,91.41%,99.94%,1.80%,0.54%,42.61%,4676.3,2544.6,2362.8,2381.3,4476.0,2684.4,3619.0,2561.3,95255.8,132219.1,91230.5,93623.2,91920.7,37276.5,212264.9,121962.8,7195.1,3670.0,3501.5,3594.2,3853.2,3548.7,64118.8,4482.7,53847.2,75726.5,53989.0,55442.1,53806.2,11189.3,56931.8,76750.6
B9 blank,2020-05-28 12:44:19,10.0,8.20,2.40,6.83,6.50,8.20,0.20,0.00,3.30,82,24,66,65,82,2,0,33,100.00%,72.73%,80.49%,98.48%,100.00%,6.06%,0.00%,50.77%,100.00%,29.27%,80.49%,79.27%,100.00%,2.44%,0.00%,40.24%,31031.8,2672.1,2968.8,2995.4,31031.8,3307.7,####,2832.7,95971.2,123265.8,77120.4,78145.5,95971.2,36010.0,####,103408.0,12951.0,3250.7,4878.1,4945.3,12951.0,6106.5,####,4932.0,32831.1,54311.3,35181.3,36770.1,32831.1,14248.1,####,47288.3
B10 S_T5_R1_2,2020-05-28 12:45:40,10.0,285.84,120.72,285.73,271.54,285.64,7.00,1.90,137.22,2858,1207,2761,2715,2856,70,19,1372,100.00%,87.97%,96.61%,98.33%,99.93%,5.10%,1.38%,50.53%,100.00%,42.23%,96.61%,95.00%,99.93%,2.45%,0.66%,48.01%,3359.4,2637.4,2579.6,2589.5,3217.9,2759.6,4115.3,2679.1,110285.8,133640.5,102604.9,104087.2,106829.7,39750.4,169990.0,125238.5,6130.3,3712.7,4031.1,4089.5,4667.6,3776.3,58309.3,4585.0,54233.2,71885.8,54239.4,54381.9,54318.9,20821.3,40526.9,70313.8
B11 S_T5_R2_2,2020-05-28 12:47:01,10.0,211.40,79.90,205.94,195.10,211.30,5.30,1.90,93.90,2114,799,1990,1951,2113,53,19,939,100.00%,85.09%,94.13%,98.04%,99.95%,5.64%,2.02%,48.13%,100.00%,37.80%,94.13%,92.29%,99.95%,2.51%,0.90%,44.42%,3380.2,2744.3,2584.9,2594.9,3376.5,2838.1,3887.3,2781.2,124193.9,162459.9,121740.5,123706.4,123178.7,39801.5,199586.1,153362.2,4998.0,4394.4,4396.0,4468.4,4972.7,3568.2,57931.1,5528.1,61897.4,88059.3,62111.8,62967.1,61744.2,14208.8,61542.9,87391.3
B12 S_T6_R1_2,2020-05-28 12:48:23,10.0,78.10,29.10,79.79,74.70,77.90,1.90,0.40,34.30,781,291,771,747,779,19,4,343,100.00%,84.84%,98.72%,96.89%,99.74%,5.54%,1.17%,45.92%,100.00%,37.26%,98.72%,95.65%,99.74%,2.43%,0.51%,43.92%,3757.7,2628.9,2475.1,2493.6,3264.4,3141.7,3500.2,2689.8,98199.4,98985.2,85684.3,87906.0,85367.6,45609.9,194559.6,95640.0,7389.8,2974.8,3820.9,3923.0,3994.9,4331.9,49439.8,3931.2,57501.5,58855.4,57828.1,57597.8,57428.8,22004.3,33811.7,60602.6
C1 S_T6_R2_1,2020-05-28 12:49:46,10.0,220.67,81.27,224.34,209.20,220.67,4.09,1.70,93.23,2213,815,2174,2098,2213,41,17,935,100.00%,87.17%,98.24%,96.50%,100.00%,4.39%,1.82%,44.57%,100.00%,36.83%,98.24%,94.80%,100.00%,1.85%,0.77%,42.25%,4447.9,2634.1,2426.5,2443.6,4447.9,2799.1,4053.5,2681.6,87010.7,116894.5,86504.6,89062.6,87010.7,38599.4,232044.9,112094.1,3992.8,3317.7,3739.9,3855.5,3992.8,3798.1,68803.0,4923.0,54056.8,57960.9,54131.8,53570.0,54056.8,22388.4,114829.1,59848.1
C2 S_T7_R1_1,2020-05-28 12:51:08,10.0,348.21,186.06,333.02,319.60,348.01,15.00,0.90,206.26,3481,1860,3218,3195,3479,150,9,2062,100.00%,90.20%,92.44%,99.29%,99.94%,7.27%,0.44%,64.54%,100.00%,53.43%,92.44%,91.78%,99.94%,4.31%,0.26%,59.24%,3385.0,2953.7,2818.4,2827.7,3364.3,2625.6,3997.2,2936.7,239657.1,276790.1,231510.5,233025.8,238486.8,24701.0,239219.3,253839.0,6882.8,6898.3,6533.4,6574.9,6841.6,2875.5,80316.5,6896.2,159576.1,83687.1,159778.0,157279.4,159320.0,8535.2,127774.9,101892.6
C3 S_T7_R2_1,2020-05-28 12:52:29,10.0,185.30,96.00,190.83,182.60,185.10,9.00,0.60,108.80,1853,960,1844,1826,1851,90,6,1088,100.00%,88.24%,99.51%,99.02%,99.89%,8.27%,0.55%,59.58%,100.00%,51.81%,99.51%,98.54%,99.89%,4.86%,0.32%,58.72%,2813.4,2819.1,2670.5,2680.2,2794.2,2648.8,3560.8,2820.7,206483.4,253976.1,199348.3,201150.9,204170.6,26180.8,214069.0,229993.9,5909.9,6133.1,5665.4,5715.3,5847.5,3045.8,54682.1,6236.7,192198.9,109560.2,190489.9,190023.2,191136.5,9475.1,51983.5,147979.6
C4 S_T8_R1_1,2020-05-28 12:53:51,10.0,497.60,309.50,504.18,485.00,496.60,16.10,1.30,329.80,4976,3095,4872,4850,4966,161,13,3298,100.00%,93.84%,97.91%,99.55%,99.80%,4.88%,0.39%,68.00%,100.00%,62.20%,97.91%,97.47%,99.80%,3.24%,0.26%,66.28%,3228.8,2907.7,2805.3,2809.3,3159.6,2836.3,4199.7,2912.7,256761.5,279498.8,245897.4,246930.3,252723.6,26833.9,178648.7,264776.7,7499.6,6947.9,6619.3,6646.2,7310.3,3255.9,54954.3,6949.4,105954.1,74751.4,104792.2,103873.5,105915.4,10147.7,43792.6,82070.7
C5 S_T8_R2_1,2020-05-28 12:55:13,10.0,376.51,216.41,370.48,356.11,376.21,11.30,1.10,231.51,3765,2164,3580,3561,3762,113,11,2315,100.00%,93.48%,95.09%,99.47%,99.92%,4.88%,0.48%,65.01%,100.00%,57.48%,95.09%,94.58%,99.92%,3.00%,0.29%,61.49%,3221.6,3031.3,2862.7,2866.9,3183.9,2798.6,4120.4,3030.9,244037.5,274633.6,239190.5,240342.9,241146.8,27248.5,204127.5,260048.9,7147.1,6739.4,6506.6,6536.8,6985.0,3355.9,50346.9,6805.7,105758.0,75378.6,104037.8,103327.3,105702.7,10507.6,50996.9,82857.5
C6 blank,2020-05-28 12:56:34,10.0,7.50,2.80,7.04,6.80,7.50,0.30,0.00,3.20,75,28,68,68,75,3,0,32,100.00%,87.50%,90.67%,100.00%,100.00%,9.38%,0.00%,47.06%,100.00%,37.33%,90.67%,90.67%,100.00%,4.00%,0.00%,42.67%,16922.9,2845.4,3114.9,3114.9,16922.9,2760.0,####,2801.8,156087.6,242830.3,153821.3,153821.3,156087.6,19977.0,####,214675.0,8858.9,6377.8,5163.9,5163.9,8858.9,3665.6,####,6089.5,138705.7,105447.9,153601.2,153601.2,138705.7,180.1,####,143786.5
C7 blank,2020-05-28 12:57:55,10.0,2.70,0.70,1.97,1.90,2.70,0.00,0.00,0.90,27,7,19,19,27,0,0,9,100.00%,77.78%,70.37%,100.00%,100.00%,0.00%,0.00%,47.37%,100.00%,25.93%,70.37%,70.37%,100.00%,0.00%,0.00%,33.33%,23580.8,2588.5,3349.1,3349.1,23580.8,####,####,2696.5,164898.0,244959.7,173470.4,173470.4,164898.0,####,####,205452.8,9839.7,7024.0,6751.6,6751.6,9839.7,####,####,9431.5,103186.4,121481.4,220596.8,220596.8,103186.4,####,####,136437.9
C8 blank,2020-05-28 12:59:17,10.0,1.80,0.30,1.35,1.30,1.80,0.10,0.00,0.50,18,3,13,13,18,1,0,5,100.00%,60.00%,72.22%,100.00%,100.00%,20.00%,0.00%,38.46%,100.00%,16.67%,72.22%,72.22%,100.00%,5.56%,0.00%,27.78%,40022.7,3071.2,2988.2,2988.2,40022.7,2183.9,####,3119.3,187634.8,269025.3,218347.5,218347.5,187634.8,11487.8,####,168618.0,13091.9,10283.6,8242.7,8242.7,13091.9,2302.5,####,8950.8,121804.5,3662.6,188050.6,188050.6,121804.5,0.0,####,127836.4
C9 blank,2020-05-28 13:00:39,10.0,1.10,0.30,0.83,0.80,1.10,0.00,0.00,0.40,11,3,8,8,11,0,0,4,100.00%,75.00%,72.73%,100.00%,100.00%,0.00%,0.00%,50.00%,100.00%,27.27%,72.73%,72.73%,100.00%,0.00%,0.00%,36.36%,46359.7,3134.4,6073.4,6073.4,46359.7,####,####,3300.6,149460.9,280558.4,168370.6,168370.6,149460.9,####,####,260549.4,14589.6,7883.9,5955.1,5955.1,14589.6,####,####,8618.5,168455.0,96896.5,177894.2,177894.2,168455.0,####,####,48448.3
C10 S_T11_R1_1,2020-05-28 13:02:00,10.0,490.70,276.20,492.70,474.00,489.80,35.90,1.30,318.60,4907,2762,4761,4740,4898,359,13,3186,100.00%,86.69%,97.02%,99.56%,99.82%,11.27%,0.41%,67.22%,100.00%,56.29%,97.02%,96.60%,99.82%,7.32%,0.26%,64.93%,3441.7,3077.5,2883.8,2889.0,3367.0,2627.4,3898.0,3035.4,268250.7,308862.3,255859.2,256877.5,264822.1,26146.7,265692.3,273115.2,8421.8,8296.7,7513.7,7542.8,8167.3,2830.0,71414.1,7927.9,133451.0,84236.5,131217.2,130348.8,133303.0,10607.3,85655.1,102810.4
C11 S_T11_R2_1,2020-05-28 12:09:30,10.0,6498.44,4441.26,6426.30,6192.43,6447.24,170.51,7.20,4651.77,64982,44411,62098,61922,64470,1705,72,46516,100.00%,95.47%,95.56%,99.72%,99.21%,3.67%,0.15%,75.12%,100.00%,68.34%,95.56%,95.29%,99.21%,2.62%,0.11%,71.58%,3611.1,3156.8,3154.7,3159.3,3356.7,2914.9,4719.6,3152.5,304047.4,300685.1,287035.5,287759.2,294239.6,25859.2,203265.5,288743.1,8962.0,7684.6,7647.3,7666.2,8064.7,3044.2,69421.8,7601.6,69306.7,55762.2,68641.7,68334.1,69185.3,10892.4,58566.8,59446.0
C12 S_T0_1,2020-05-28 12:07:16,60.0,805.70,251.02,789.12,720.20,804.39,25.90,6.52,307.33,48342,15061,45752,43212,48263,1554,391,18440,100.00%,81.68%,94.64%,94.45%,99.84%,8.43%,2.12%,42.67%,100.00%,31.16%,94.64%,89.39%,99.84%,3.21%,0.81%,38.14%,3814.3,2912.9,2702.9,2796.4,3516.8,4272.6,4230.3,3116.0,72830.2,65166.5,59923.9,61461.9,68095.9,33889.2,177511.3,64309.4,5481.2,2141.1,3183.5,3297.7,4523.2,3708.2,64826.1,3818.8,36408.8,40873.4,35449.5,36609.5,36302.4,14915.2,40653.0,41900.6
D1 S_T6_R2_2,2020-05-28 13:03:25,10.0,96.70,35.70,93.76,88.50,96.60,3.30,0.60,42.80,967,357,906,885,966,33,6,428,100.00%,83.41%,93.69%,97.68%,99.90%,7.71%,1.40%,48.36%,100.00%,36.92%,93.69%,91.52%,99.90%,3.41%,0.62%,44.26%,4499.6,2645.6,2616.2,2637.5,4001.6,2983.4,4427.1,2707.4,102859.4,142752.1,100654.8,102569.1,102859.7,32474.1,247045.2,129593.9,5670.5,4055.4,4428.0,4515.1,5537.8,4315.3,73796.2,5326.9,61461.8,90532.7,60824.0,61794.0,61258.5,12077.0,63261.9,85682.6
