Experiment Name:,Exp_20200528_1
D2 S_T7_R1_2,2020-05-28 13:04:46,10.0,118.80,66.80,122.11,117.10,118.60,4.90,0.30,73.60,1188,668,1180,1171,1186,49,3,736,100.00%,90.76%,99.33%,99.24%,99.83%,6.66%,0.41%,62.85%,100.00%,56.23%,99.33%,98.57%,99.83%,4.12%,0.25%,61.95%,3542.6,2927.5,2749.1,2759.5,3334.9,2703.6,5579.6,2919.8,241369.7,285365.9,232961.1,234603.8,237228.3,27389.7,220875.0,263332.7,10213.8,7183.7,6346.8,6389.0,7161.5,3492.9,43796.3,7083.6,145894.7,76860.0,142598.7,140180.0,143759.0,8436.4,22942.3,90730.4
D3 S_T7_R2_2,2020-05-28 13:06:07,10.0,358.60,196.40,364.27,349.50,358.20,16.20,1.20,221.10,3586,1964,3520,3495,3582,162,12,2211,100.00%,88.83%,98.16%,99.29%,99.89%,7.33%,0.54%,63.26%,100.00%,54.77%,98.16%,97.46%,99.89%,4.52%,0.33%,61.66%,3337.5,2814.3,2703.3,2710.2,3252.5,2594.7,4618.8,2831.3,224379.3,270566.3,216444.6,217887.4,221108.3,29912.6,222797.1,246644.0,7922.8,6822.8,6319.5,6360.4,6790.8,3188.1,81002.3,7090.3,212203.9,133510.4,211411.6,209893.9,211787.3,13706.8,64421.6,181772.2
D4 S_T8_R1_2,2020-05-28 13:07:29,10.0,215.70,121.10,201.90,193.40,215.30,6.70,0.70,129.80,2157,1211,1951,1934,2153,67,7,1298,100.00%,93.30%,90.45%,99.13%,99.81%,5.16%,0.54%,67.11%,100.00%,56.14%,90.45%,89.66%,99.81%,3.11%,0.32%,60.18%,4783.2,2891.3,2717.3,2725.6,4732.4,2761.3,4785.9,2897.4,260523.7,290909.1,251393.0,253374.5,255997.6,29129.6,240714.5,274900.3,7367.7,7300.6,6820.1,6871.9,7187.8,3291.7,77457.7,7447.1,101676.2,72384.0,100805.3,98922.7,101661.6,13756.8,61470.4,78827.7
D5 S_T8_R2_2,2020-05-28 13:08:50,10.0,210.60,129.90,216.60,208.50,210.00,6.20,0.90,139.30,2106,1299,2093,2085,2100,62,9,1393,100.00%,93.25%,99.38%,99.62%,99.72%,4.45%,0.65%,66.81%,100.00%,61.68%,99.38%,99.00%,99.72%,2.94%,0.43%,66.14%,3248.5,2911.5,2798.5,2804.5,3094.0,2659.9,3966.9,2920.9,246976.9,265527.2,238256.6,238934.9,241989.0,25419.5,184822.8,252195.7,8710.0,6478.2,6376.8,6394.6,6890.1,2996.7,46475.6,6654.4,94566.0,71309.8,94391.6,93442.7,94603.6,9625.0,28113.5,79127.4
D6 blank,2020-05-28 13:10:11,10.0,10.30,4.00,9.42,9.00,10.20,0.50,0.00,4.60,103,40,91,90,102,5,0,46,100.00%,86.96%,88.35%,98.90%,99.03%,10.87%,0.00%,51.11%,100.00%,38.83%,88.35%,87.38%,99.03%,4.85%,0.00%,44.66%,15286.4,2848.6,2659.3,2663.3,12968.4,2747.0,####,2830.4,239193.4,233454.9,203342.8,205488.7,191970.4,23710.0,####,205811.7,47132.6,6323.3,6035.2,6096.9,11652.9,3576.4,####,6022.0,181312.6,71930.6,162113.0,157444.8,187420.6,5149.2,####,105501.3
D7 blank,2020-05-28 13:11:33,10.0,1.60,0.50,1.55,1.50,1.60,0.00,0.00,0.60,16,5,15,15,16,0,0,6,100.00%,83.33%,93.75%,100.00%,100.00%,0.00%,0.00%,40.00%,100.00%,31.25%,93.75%,93.75%,100.00%,0.00%,0.00%,37.50%,7092.3,2264.7,5383.5,5383.5,7092.3,####,####,2832.3,130352.0,318230.9,138176.2,138176.2,130352.0,####,####,267044.9,6334.7,8794.5,6216.6,6216.6,6334.7,####,####,7981.5,25341.8,13841.1,33313.0,33313.0,25341.8,####,####,69891.0
D8 blank,2020-05-28 13:12:54,10.0,1.60,0.40,1.24,1.20,1.60,0.10,0.00,0.70,16,4,12,12,16,1,0,7,100.00%,57.14%,75.00%,100.00%,100.00%,14.29%,0.00%,58.33%,100.00%,25.00%,75.00%,75.00%,100.00%,6.25%,0.00%,43.75%,12016.8,2738.9,4445.6,4445.6,12016.8,3800.4,####,3130.0,79259.0,148932.3,71488.4,71488.4,79259.0,15016.4,####,92818.8,5615.5,4477.1,4878.7,4878.7,5615.5,3777.4,####,6763.5,36241.7,33843.3,37253.2,37253.2,36241.7,0.0,####,90061.4
D9 blank,2020-05-28 13:14:16,10.0,1.70,0.50,1.45,1.40,1.70,0.00,0.00,0.70,17,5,14,14,17,0,0,7,100.00%,71.43%,82.35%,100.00%,100.00%,0.00%,0.00%,50.00%,100.00%,29.41%,82.35%,82.35%,100.00%,0.00%,0.00%,41.18%,19213.9,3198.8,5464.7,5464.7,19213.9,####,####,3162.6,106209.7,167861.1,119670.0,119670.0,106209.7,####,####,148646.6,10368.2,6099.9,7834.7,7834.7,10368.2,####,####,7505.9,109269.5,82364.5,121485.5,121485.5,109269.5,####,####,82364.5
D10 S_T11_R1_2,2020-05-28 13:15:37,10.0,440.80,227.20,394.70,379.90,439.50,29.90,0.50,261.40,4408,2272,3814,3799,4395,299,5,2614,100.00%,86.92%,86.52%,99.61%,99.71%,11.44%,0.19%,68.81%,100.00%,51.54%,86.52%,86.18%,99.71%,6.78%,0.11%,59.30%,3917.6,3006.5,2873.3,2878.1,3450.3,2710.7,3901.7,2975.9,271692.2,307084.9,259143.0,260079.2,261309.3,28298.3,258394.0,271538.0,9253.8,8100.1,7440.2,7464.5,7711.9,3069.9,63388.4,7627.1,125865.5,82375.7,123576.9,122140.2,125809.9,12836.9,71471.8,99547.6
D11 S_T11_R2_2,2020-05-28 13:16:58,10.0,596.42,351.11,551.06,531.62,594.82,16.10,0.70,370.41,5964,3511,5325,5316,5948,161,7,3704,100.00%,94.79%,89.29%,99.83%,99.73%,4.35%,0.19%,69.68%,100.00%,58.87%,89.29%,89.13%,99.73%,2.70%,0.12%,62.11%,3472.6,3181.5,3124.6,3126.4,3368.0,2725.3,4526.8,3170.6,309556.2,314972.7,299976.0,300461.2,304468.0,30282.7,190576.3,301329.3,9509.1,8043.5,8000.4,8012.8,8596.4,3679.0,35861.3,7929.1,68581.7,55031.8,68034.1,67816.9,68546.8,13564.9,39890.2,58905.9
D12 S_T0_2,2020-05-28 13:18:20,10.0,129.90,51.20,130.81,123.40,129.70,6.80,1.00,63.00,1299,512,1264,1234,1297,68,10,630,100.00%,81.27%,97.31%,97.63%,99.85%,10.79%,1.59%,51.05%,100.00%,39.41%,97.31%,95.00%,99.85%,5.23%,0.77%,48.50%,4935.2,2776.9,2647.9,2670.8,4890.2,2575.9,4197.5,2768.3,129179.7,180681.1,127352.6,130025.0,121830.8,29680.0,231491.5,158136.8,6120.9,5013.7,5145.7,5252.2,5740.2,3233.9,63854.2,5877.8,68697.9,133989.5,68664.2,69564.3,68629.9,10255.1,64978.7,121873.4
E1 blank,2020-05-28 13:19:43,10.0,6.20,2.20,5.17,5.00,6.20,0.00,0.00,2.70,62,22,50,50,62,0,0,27,100.00%,81.48%,80.65%,100.00%,100.00%,0.00%,0.00%,54.00%,100.00%,35.48%,80.65%,80.65%,100.00%,0.00%,0.00%,43.55%,22289.0,2855.0,2903.9,2903.9,22289.0,####,####,2812.2,130543.8,167420.0,141631.6,141631.6,130543.8,####,####,147090.1,7617.1,4904.0,6512.9,6512.9,7617.1,####,####,5181.3,92202.5,148162.5,133156.8,133156.8,92202.5,####,####,147599.1
E2 blank,2020-05-28 13:21:05,10.0,3.90,0.70,2.90,2.80,3.90,0.20,0.10,1.00,39,7,28,28,39,2,1,10,100.00%,70.00%,71.79%,100.00%,100.00%,20.00%,10.00%,35.71%,100.00%,17.95%,71.79%,71.79%,100.00%,5.13%,2.56%,25.64%,20943.5,2760.3,3189.4,3189.4,20943.5,5089.1,2626.7,3212.7,133830.3,174847.7,163448.0,163448.0,133830.3,11254.4,210037.9,145648.0,8687.2,5440.1,7897.1,7897.1,8687.2,2389.4,17792.6,6065.3,72272.5,128417.0,105500.1,105500.1,72272.5,1828.2,0.0,126743.0
E3 L_T2_R1_1,2020-05-28 13:22:26,10.0,40.30,17.10,40.57,38.80,40.20,0.60,0.40,19.90,403,171,392,388,402,6,4,199,100.00%,85.93%,97.27%,98.98%,99.75%,3.02%,2.01%,51.29%,100.00%,42.43%,97.27%,96.28%,99.75%,1.49%,0.99%,49.38%,5544.2,2677.1,2494.8,2500.0,4707.9,3468.1,4063.9,2744.1,144904.3,188066.2,124195.6,125328.6,131192.0,43253.2,203065.9,172604.8,19485.3,5087.4,4583.6,4623.8,5532.6,4312.8,73149.5,6519.0,62407.5,121785.2,62280.7,62385.8,62574.1,15300.5,57661.2,112404.4
E4 L_T2_R2_1,2020-05-28 13:23:48,10.0,27.20,8.90,26.18,24.60,27.20,0.50,0.20,10.40,272,89,253,246,272,5,2,104,100.00%,85.58%,93.01%,97.23%,100.00%,4.81%,1.92%,42.28%,100.00%,32.72%,93.01%,90.44%,100.00%,1.84%,0.74%,38.24%,5374.0,2837.9,2883.7,2902.0,5374.0,2276.8,3412.7,2768.2,96455.7,137467.1,86879.1,88734.4,96455.7,12478.2,214899.7,125126.4,5362.2,4083.1,4423.4,4527.0,5362.2,1853.1,116629.0,5979.5,44851.8,62284.2,44494.5,45199.1,44851.8,1642.1,41195.8,67536.4
E5 L_T3_R1_1,2020-05-28 13:25:10,10.0,44.30,13.90,41.91,39.20,44.20,1.00,0.40,16.70,443,139,405,392,442,10,4,167,100.00%,83.23%,91.42%,96.79%,99.77%,5.99%,2.40%,42.60%,100.00%,31.38%,91.42%,88.49%,99.77%,2.26%,0.90%,37.70%,4145.4,2665.6,2568.7,2590.9,3571.6,2398.1,4631.0,2731.2,111597.5,152024.3,100680.1,103380.6,100468.5,25309.3,203375.4,144449.8,13576.4,4170.7,4525.9,4646.1,5140.5,3157.7,88022.7,6637.0,53971.8,73317.4,54989.2,55454.7,53351.5,9428.2,54442.6,73239.7
E6 L_T3_R2_1,2020-05-28 13:26:31,10.0,37.40,14.60,37.77,35.40,37.40,0.90,0.40,17.00,374,146,365,354,374,9,4,170,100.00%,85.88%,97.59%,96.99%,100.00%,5.29%,2.35%,48.02%,100.00%,39.04%,97.59%,94.65%,100.00%,2.41%,1.07%,45.45%,3519.3,2564.7,2401.0,2413.5,3519.3,2784.9,4087.5,2588.9,79645.2,106740.1,79847.3,81957.3,79645.2,26149.8,210290.6,101024.0,4059.6,3164.6,3582.0,3677.7,4059.6,2559.6,77425.7,4860.9,40638.1,59803.8,41409.6,41845.8,40638.1,12779.4,46096.3,57402.8
E7 L_T4_R1_1,2020-05-28 13:27:52,10.0,81.10,26.10,71.61,67.60,80.90,1.70,0.30,30.10,811,261,692,676,809,17,3,301,100.00%,86.71%,85.33%,97.69%,99.75%,5.65%,1.00%,44.53%,100.00%,32.18%,85.33%,83.35%,99.75%,2.10%,0.37%,37.11%,5853.3,2646.2,2511.2,2540.1,4657.4,2617.1,2892.2,2642.3,114783.2,140430.7,99552.0,101470.2,104229.1,40755.8,175898.4,130627.5,10176.6,4057.3,3629.9,3701.9,4613.0,3963.4,52158.2,4675.7,51671.1,72030.5,49991.6,50751.9,51528.9,17258.9,97598.5,68951.0
E8 L_T4_R2_1,2020-05-28 13:29:14,10.0,53.10,17.10,48.64,45.00,53.10,1.30,0.30,20.30,531,171,470,450,531,13,3,203,100.00%,84.24%,88.51%,95.74%,100.00%,6.40%,1.48%,45.11%,100.00%,32.20%,88.51%,84.75%,100.00%,2.45%,0.56%,38.23%,3921.0,2533.0,2345.4,2360.1,3921.0,2789.9,3275.6,2554.3,86625.7,102541.8,83715.3,86559.5,86625.7,26039.6,178164.2,95346.5,3849.8,3068.1,3242.5,3356.9,3849.8,2528.3,26831.2,3481.0,41941.4,56294.8,43087.1,45048.4,41941.4,5619.5,48973.1,54722.8
E9 blank,2020-05-28 13:30:35,10.0,1.80,0.50,1.45,1.40,1.80,0.10,0.00,0.70,18,5,14,14,18,1,0,7,100.00%,71.43%,77.78%,100.00%,100.00%,14.29%,0.00%,50.00%,100.00%,27.78%,77.78%,77.78%,100.00%,5.56%,0.00%,38.89%,19802.5,2892.6,2690.3,2690.3,19802.5,3447.3,####,3074.1,100045.6,62080.3,121389.8,121389.8,100045.6,30750.7,####,67838.9,4836.6,1880.6,3583.5,3583.5,4836.6,3160.8,####,3230.0,20327.9,20775.2,23579.3,23579.3,20327.9,0.0,####,30494.9
E10 L_T5_R1_1,2020-05-28 13:31:57,10.0,71.30,29.60,72.85,67.70,71.30,1.70,0.60,33.30,713,296,704,677,713,17,6,333,100.00%,88.89%,98.74%,96.16%,100.00%,5.11%,1.80%,49.19%,100.00%,41.51%,98.74%,94.95%,100.00%,2.38%,0.84%,46.70%,3591.2,2567.3,2591.9,2630.8,3591.2,2762.0,3324.4,2588.0,109177.2,135885.6,105780.0,109497.8,109177.2,26813.9,189398.6,127848.0,4520.1,3782.6,4005.2,4142.6,4520.1,2716.3,55260.4,4654.7,63160.4,78328.4,62812.0,61315.3,63160.4,5103.9,64191.2,81137.1
E11 L_T5_R2_1,2020-05-28 13:33:18,10.0,75.70,27.10,68.71,64.50,75.70,1.20,0.40,30.50,757,271,664,645,757,12,4,305,100.00%,88.85%,87.71%,97.14%,100.00%,3.93%,1.31%,47.29%,100.00%,35.80%,87.71%,85.20%,100.00%,1.59%,0.53%,40.29%,3276.7,2533.9,2344.9,2371.6,3276.7,2425.9,3664.5,2583.0,100412.6,120906.5,94038.5,95985.7,100412.6,23535.5,199809.6,114746.5,5621.0,3526.8,3835.9,3922.9,5621.0,2197.8,73844.6,4630.3,57779.4,67114.5,57518.5,57351.9,57779.4,5750.6,29633.8,67063.8
E12 L_T6_R1_1,2020-05-28 13:34:41,10.0,122.90,46.70,125.53,117.00,122.90,2.60,1.30,53.50,1229,467,1213,1170,1229,26,13,535,100.00%,87.29%,98.70%,96.46%,100.00%,4.86%,2.43%,45.73%,100.00%,38.00%,98.70%,95.20%,100.00%,2.12%,1.06%,43.53%,4024.5,2448.4,2278.8,2306.2,4024.5,2497.6,3579.6,2483.8,75471.2,88450.6,73085.9,74984.3,75471.2,34485.9,183058.3,86704.3,4952.1,2751.0,3681.8,3786.8,4952.1,3334.5,68629.8,4736.6,49201.6,55299.5,49524.6,49736.7,49201.6,10204.8,36394.1,55784.9
F1 blank,2020-05-28 12:04:08,30.0,12.80,2.07,10.87,10.43,12.57,1.13,0.13,5.93,384,62,315,313,377,34,4,178,100.00%,34.83%,82.03%,99.37%,98.18%,19.10%,2.25%,56.87%,100.00%,16.15%,82.03%,81.51%,98.18%,8.85%,1.04%,46.35%,12516.4,2972.2,4653.1,4668.4,11460.2,2904.2,4994.5,3451.3,127138.2,157070.8,97080.9,97586.4,100787.7,55544.6,204488.7,95614.3,36221.7,4691.7,11890.6,11962.2,16634.7,7219.5,20179.5,9408.6,54725.1,134449.1,54166.1,54548.9,51654.4,34102.8,23451.4,56159.9
F2 blank,2020-05-28 13:36:04,10.0,4.00,1.00,2.90,2.80,4.00,0.00,0.10,1.30,40,10,28,28,40,0,1,13,100.00%,76.92%,70.00%,100.00%,100.00%,0.00%,7.69%,46.43%,100.00%,25.00%,70.00%,70.00%,100.00%,0.00%,2.50%,32.50%,10248.5,3150.7,3766.6,3766.6,10248.5,####,7671.7,3618.0,54258.2,68692.9,53032.5,53032.5,54258.2,####,265563.9,76069.6,4412.9,2125.1,3756.8,3756.8,4412.9,####,34420.7,5661.8,28399.9,47380.9,31170.8,31170.8,28399.9,####,0.0,52504.1
F3 L_T2_R1_1,2020-05-28 13:37:26,10.0,39.50,15.20,40.15,37.90,39.40,0.90,0.40,17.90,395,152,388,379,394,9,4,179,100.00%,84.92%,98.23%,97.68%,99.75%,5.03%,2.23%,47.23%,100.00%,38.48%,98.23%,95.95%,99.75%,2.28%,1.01%,45.32%,3427.9,2729.0,2698.4,2717.1,3298.4,2918.7,3741.0,2744.0,136325.3,205003.1,121831.5,124439.2,124104.9,53879.5,198005.0,183639.6,6294.3,5274.7,5385.0,5500.9,5952.1,5436.4,102427.1,7564.9,63321.1,119512.1,64267.1,64466.6,63281.8,28290.7,62082.1,109871.5
01-Well-F4,2020-05-28 13:38:47,10.0,45.80,16.70,45.95,42.60,45.80,0.80,0.30,19.40,458,167,444,426,458,8,3,194,100.00%,86.08%,96.94%,95.95%,100.00%,4.12%,1.55%,45.54%,100.00%,36.46%,96.94%,93.01%,100.00%,1.75%,0.66%,42.36%,5268.5,2583.4,2433.0,2459.9,5268.5,2828.4,4083.5,2619.7,80749.8,105284.9,77059.7,79689.3,80749.8,19372.6,142539.7,95685.2,4125.6,3133.2,3106.2,3215.2,4125.6,2378.7,32447.7,3934.1,36828.5,59247.1,37378.6,40410.7,36828.5,6377.1,28098.1,56068.3
01-Well-F5,2020-05-28 13:40:08,10.1,46.74,16.81,46.28,42.87,46.74,1.19,0.30,19.79,470,169,450,431,470,12,3,199,100.00%,84.92%,95.74%,95.78%,100.00%,6.03%,1.51%,46.17%,100.00%,35.96%,95.74%,91.70%,100.00%,2.55%,0.64%,42.34%,4672.3,2569.3,3236.1,2708.2,4672.3,2810.5,2659.5,2587.3,112243.6,132956.7,109267.5,112859.9,112243.6,29500.9,179995.9,120926.7,6637.6,3814.0,5898.2,4908.4,6637.6,2865.6,50006.7,4379.5,44601.3,73383.7,45603.7,50679.9,44601.3,5326.9,40564.8,67809.5
01-Well-F6,2020-05-28 13:41:30,10.0,70.50,22.70,66.85,62.80,70.50,1.20,0.30,26.50,705,227,646,628,705,12,3,265,100.00%,85.66%,91.63%,97.21%,100.00%,4.53%,1.13%,42.20%,100.00%,32.20%,91.63%,89.08%,100.00%,1.70%,0.43%,37.59%,3670.4,2630.2,2384.8,2403.6,3670.4,2379.0,4753.3,2651.4,85381.1,106919.7,83741.7,85053.9,85381.1,29448.1,205181.2,100237.9,3934.7,3051.2,3424.5,3488.5,3934.7,2665.9,115846.5,4375.6,44383.9,59384.1,44436.9,45127.3,44383.9,3708.1,13889.7,58090.6
01-Well-F7,2020-05-28 13:42:51,10.0,61.10,19.90,61.57,57.10,61.10,1.20,0.30,22.90,611,199,595,571,611,12,3,229,100.00%,86.90%,97.38%,95.97%,100.00%,5.24%,1.31%,40.11%,100.00%,32.57%,97.38%,93.45%,100.00%,1.96%,0.49%,37.48%,4665.2,2491.1,2457.6,2477.6,4665.2,2861.2,2962.2,2516.9,80255.3,113740.0,79257.8,82012.4,80255.3,22810.8,183557.3,106804.0,3895.4,3363.2,3121.5,3231.3,3895.4,2778.9,48946.2,4026.8,45509.0,57285.7,44791.7,49040.6,45509.0,7749.0,57416.8,58897.5
01-Well-F8,2020-05-28 13:44:12,10.0,29.60,10.60,27.84,26.10,29.60,0.80,0.10,12.60,296,106,269,261,296,8,1,126,100.00%,84.13%,90.88%,97.03%,100.00%,6.35%,0.79%,48.28%,100.00%,35.81%,90.88%,88.18%,100.00%,2.70%,0.34%,42.57%,3379.1,2440.8,2297.2,2319.0,3379.1,2718.0,3071.0,2499.3,83530.3,98324.6,77457.1,79448.5,83530.3,23636.2,184132.2,91987.8,3341.6,2955.5,3025.7,3102.2,3341.6,2961.7,62214.5,3588.3,51000.6,54614.7,48443.8,49587.8,51000.6,7981.1,0.0,56087.3
01-Well-F9,2020-05-28 13:45:34,10.0,0.70,0.10,0.41,0.30,0.70,0.10,0.00,0.20,7,1,4,3,7,1,0,2,100.00%,50.00%,57.14%,75.00%,100.00%,50.00%,0.00%,66.67%,100.00%,14.29%,57.14%,42.86%,100.00%,14.29%,0.00%,28.57%,23717.2,4120.5,3451.4,3858.6,23717.2,5527.5,####,4824.0,81176.7,381903.3,123619.1,161131.4,81176.7,12597.8,####,197250.6,6645.2,14653.0,5036.7,6571.6,6645.2,2535.3,####,8594.2,6898.1,0.0,57681.4,113115.6,6898.1,0.0,####,273766.2
01-Well-F10,2020-05-28 13:46:55,10.0,78.80,30.10,80.62,75.10,78.70,2.70,0.70,35.50,788,301,779,751,787,27,7,355,100.00%,84.79%,98.86%,96.41%,99.87%,7.61%,1.97%,47.27%,100.00%,38.20%,98.86%,95.30%,99.87%,3.43%,0.89%,45.05%,3719.9,2464.1,2323.0,2353.3,3301.4,2529.0,2665.8,2511.3,106494.8,136381.0,99026.4,102050.5,99431.4,33488.6,186693.1,126225.2,7156.1,3851.4,3961.5,4085.4,4385.4,3026.3,49616.1,5240.3,62900.5,81600.2,62639.4,62318.9,62932.1,9317.3,39815.5,82634.2
01-Well-F11,2020-05-28 13:48:16,10.0,59.10,20.60,53.81,50.90,59.00,1.00,0.30,23.50,591,206,520,509,590,10,3,235,100.00%,87.66%,87.99%,97.88%,99.83%,4.26%,1.28%,46.17%,100.00%,34.86%,87.99%,86.13%,99.83%,1.69%,0.51%,39.76%,3571.5,2525.0,2264.7,2280.5,3307.8,2389.1,3922.7,2534.1,94418.7,106548.0,82060.4,83590.5,85336.4,36686.8,213139.6,100491.6,6513.1,3114.8,3314.6,3374.5,3892.3,3437.8,89354.5,4245.0,51319.3,64388.0,51558.6,52657.4,51162.2,15666.8,52348.2,61790.5
01-Well-F12,2020-05-28 13:49:38,10.0,75.80,30.60,77.93,73.90,75.80,0.70,0.80,33.60,758,306,753,739,758,7,8,336,100.00%,91.07%,99.34%,98.14%,100.00%,2.08%,2.38%,45.47%,100.00%,40.37%,99.34%,97.49%,100.00%,0.92%,1.06%,44.33%,3151.7,2394.5,2265.9,2278.8,3151.7,2366.7,3676.1,2444.0,75423.9,82573.0,74515.5,75642.6,75423.9,29583.6,220161.1,84085.0,4052.2,2582.3,3523.9,3581.3,4052.2,3438.4,71089.5,4346.4,48297.1,54752.4,48029.1,49728.5,48297.1,5781.5,65624.7,56346.0
01-Well-G1,2020-05-28 13:51:01,10.0,89.40,33.20,90.96,84.90,89.30,1.70,0.40,36.40,894,332,879,849,893,17,4,364,100.00%,91.21%,98.32%,96.59%,99.89%,4.67%,1.10%,42.87%,100.00%,37.14%,98.32%,94.97%,99.89%,1.90%,0.45%,40.72%,3601.5,2460.4,2289.5,2307.1,3325.7,2658.4,3889.5,2504.2,79325.1,81999.6,71029.6,72736.9,73609.6,34173.4,170980.5,80594.3,8309.4,2565.9,3006.1,3085.7,4091.8,3093.2,74563.7,3550.2,46847.3,50522.0,47737.8,48491.5,46566.4,10591.8,32333.1,51979.3
01-Well-G2,2020-05-28 13:52:23,10.0,159.84,70.02,152.85,145.34,159.74,7.80,1.30,81.22,1598,700,1477,1453,1597,78,13,812,100.00%,86.21%,92.43%,98.38%,99.94%,9.61%,1.60%,55.88%,100.00%,43.80%,92.43%,90.93%,99.94%,4.88%,0.81%,50.81%,2770.0,2667.7,2532.5,2547.3,2749.3,2523.8,3456.2,2693.8,165921.3,220403.8,163520.6,165892.6,162565.4,23897.4,212080.8,197331.3,5902.7,5418.8,5841.2,5926.3,5826.2,2738.8,61538.1,6198.2,131258.1,168425.0,132787.6,134355.1,131124.4,7802.9,34782.8,188827.7
01-Well-G3,2020-05-28 13:53:44,10.0,57.60,25.60,59.09,55.50,57.60,2.60,0.50,29.30,576,256,571,555,576,26,5,293,100.00%,87.37%,99.13%,97.20%,100.00%,8.87%,1.71%,52.79%,100.00%,44.44%,99.13%,96.35%,100.00%,4.51%,0.87%,50.87%,2852.5,2600.4,2329.5,2352.3,2852.5,2438.9,2949.3,2585.3,138409.8,198152.5,139132.7,142757.0,138409.8,21579.5,200372.6,179293.1,4553.9,4885.5,4248.8,4354.0,4553.9,2669.3,50361.9,5516.6,82548.6,160710.0,82710.4,83325.8,82548.6,8933.5,66791.9,138957.0
01-Well-G4,2020-05-28 13:55:06,10.0,182.10,91.00,181.72,173.00,182.10,10.10,0.60,104.50,1821,910,1756,1730,1821,101,6,1045,100.00%,87.08%,96.43%,98.52%,100.00%,9.67%,0.57%,60.40%,100.00%,49.97%,96.43%,95.00%,100.00%,5.55%,0.33%,57.39%,3628.7,2768.8,2646.0,2661.0,3628.7,2437.5,3613.2,2745.7,207680.8,260106.7,206031.9,208903.6,207680.8,26246.4,187020.2,231348.5,6781.2,6565.0,5973.2,6053.5,6781.2,2840.4,50185.8,6513.7,199967.9,137781.9,202605.6,204453.3,199967.9,8824.7,22224.5,180561.4
01-Well-G5,2020-05-28 13:56:27,10.0,79.60,37.20,71.61,67.90,79.50,3.10,0.10,41.20,796,372,692,679,795,31,1,412,100.00%,90.29%,86.93%,98.12%,99.87%,7.52%,0.24%,60.68%,100.00%,46.73%,86.93%,85.30%,99.87%,3.89%,0.13%,51.76%,4364.8,2620.4,2440.2,2451.9,4335.8,2441.4,3732.5,2622.0,192648.2,225160.9,183190.8,186277.5,186999.3,19932.6,209763.7,207221.5,6244.8,5572.1,5007.7,5089.4,6072.1,2392.0,31707.2,5470.0,162341.2,153509.5,161094.4,164342.4,161744.4,10383.1,0.0,172823.2
01-Well-G6,2020-05-28 13:57:49,10.0,102.90,55.40,104.62,99.60,102.70,4.00,0.20,60.90,1029,554,1011,996,1027,40,2,609,100.00%,90.97%,98.25%,98.52%,99.81%,6.57%,0.33%,61.14%,100.00%,53.84%,98.25%,96.79%,99.81%,3.89%,0.19%,59.18%,4241.6,2754.7,2619.3,2634.6,4062.0,2565.6,6326.5,2760.2,242953.9,265136.4,223939.8,226996.1,238094.8,25216.2,267952.0,244928.2,8532.8,6558.1,6248.4,6324.6,7241.9,3341.9,46905.4,6544.1,165157.2,94417.2,162528.2,159562.7,165548.0,11585.2,31633.2,117704.2
